object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-533504491277896525,53.35044918195135,-27.78965255396728,12.682731,19.097197,26.012735,qso,1,4.59185
-533566502277838800,53.35665020808225,-27.78388009108226,6.0974073,9.44075,13.134982,qso,1,1.1777891
-534940905277716107,53.49409053127676,-27.77161070671031,19.974625,28.475737,40.148964,qso,1,5.816255
-535015855277586105,53.50158557362794,-27.75861057134255,2.63088,5.828009,7.8093066,qso,1,5.0818577
-534499963277529653,53.44999634878371,-27.752965321546,5.1997404,6.4743514,7.8490405,qso,1,1.581344
-535054578281372184,53.50545789517568,-28.13721846703001,17.352266,20.119776,24.30324,qso,1,1.7028592
-532809592278872921,53.28095925274138,-27.88729212712947,2.885742,3.6907537,4.6415405,qso,1,4.5030923
-529054841277449990,52.90548413136565,-27.74499902185892,18.727169,27.478973,38.59202,qso,1,2.0596795
-528129453277370378,52.81294536894067,-27.73703787993936,3.3653295,4.34553,5.4522552,qso,1,0.91230667
-529241334277271750,52.92413346716712,-27.72717508362913,5.2114973,6.11899,6.897168,qso,1,7.7434964
-527925567277155136,52.79255672329092,-27.71551362757405,20.090508,30.330914,42.45684,qso,1,1.7464528
-528718110277014494,52.87181109503231,-27.70144949439118,6.6536393,9.504894,14.291185,qso,1,5.9054446
-529845923277077746,52.98459239750631,-27.70777462573252,4.190341,4.529607,4.721569,qso,1,7.9290514
-528891171276881037,52.88911712694054,-27.68810379520981,1.8765794,2.3351903,2.396733,qso,1,7.920127
-528862664276850002,52.88626649810475,-27.68500023896966,1.6758068,2.3396366,3.5142636,qso,1,4.5196266
-528863928276839497,52.88639288992253,-27.6839497951385,10.997914,13.786439,24.786432,qso,1,4.44289
-528958651276772439,52.89586514337612,-27.67724398245358,4.0195613,5.254018,8.040432,qso,1,1.7547045
-528608100276754898,52.86081006226812,-27.6754898125371,4.868835,7.794707,9.808928,qso,1,7.333722
-529189266276691259,52.91892665026953,-27.66912596726911,52.72888,75.57932,102.42279,qso,1,6.0379024
-528859981276622524,52.88599818606428,-27.66225246781826,39.948452,52.857048,79.63272,qso,1,4.497592
-531640528276410988,53.16405284800334,-27.64109885540852,28.646118,33.86897,33.584305,qso,1,6.1086345
-531359090276318234,53.1359090561781,-27.63182345913081,2361.3674,2551.2522,2602.7593,qso,1,7.991774
-531271031276952489,53.12710314206887,-27.69524893236318,81.18075,84.23361,72.1111,qso,1,6.187261
-531472728277387505,53.14727286065295,-27.73875056193562,2.6078742,3.262804,3.801047,qso,1,4.541749
-531462858277363464,53.14628585114322,-27.73634641165704,2.6689062,5.5401697,9.379169,qso,1,7.031009
-530494139277371133,53.04941399543636,-27.73711331253187,5.088601,8.11635,10.23368,qso,1,7.022982
